"INICIO_SINTOMAS","DADOS","MEDIANA_CASOS","II_025","II_975"
2020-04-14,"Measured",5,5,5
2020-04-14,"Nowcasted",9,5,15
2020-04-15,"Measured",10,10,10
2020-04-15,"Nowcasted",17,11,23
2020-04-16,"Measured",8,8,8
2020-04-16,"Nowcasted",13,9,19
2020-04-17,"Measured",4,4,4
2020-04-17,"Nowcasted",7,4,12
2020-04-18,"Measured",10,10,10
2020-04-18,"Nowcasted",19,13,26
2020-04-19,"Measured",7,7,7
2020-04-19,"Nowcasted",10,7,14
2020-04-20,"Measured",19,19,19
2020-04-20,"Nowcasted",29,24,32
2020-04-21,"Measured",11,11,11
2020-04-21,"Nowcasted",16,12,21
2020-04-22,"Measured",10,10,10
2020-04-22,"Nowcasted",13,10,18
2020-04-23,"Measured",8,8,8
2020-04-23,"Nowcasted",14,8,19
2020-04-24,"Measured",5,5,5
2020-04-24,"Nowcasted",5,5,6
2020-04-25,"Measured",6,6,6
2020-04-25,"Nowcasted",9,6,13
2020-04-26,"Measured",6,6,6
2020-04-26,"Nowcasted",10,6,12
2020-04-27,"Measured",6,6,6
2020-04-27,"Nowcasted",8,6,11
2020-04-28,"Measured",7,7,7
2020-04-28,"Nowcasted",13,8,21
2020-04-29,"Measured",3,3,3
2020-04-29,"Nowcasted",7,3,11
2020-04-30,"Measured",4,4,4
2020-04-30,"Nowcasted",5,4,6
2020-05-01,"Measured",9,9,9
2020-05-01,"Nowcasted",12,9,14
2020-05-02,"Measured",2,2,2
2020-05-02,"Nowcasted",4,2,8
2020-05-03,"Measured",2,2,2
2020-05-03,"Nowcasted",2,2,3
2020-05-04,"Measured",10,10,10
2020-05-04,"Nowcasted",14,11,16
2020-05-05,"Measured",21,21,21
2020-05-05,"Nowcasted",26,24,28
2020-05-06,"Measured",9,9,9
2020-05-06,"Nowcasted",15,11,16
2020-05-07,"Measured",4,4,4
2020-05-07,"Nowcasted",7,4,10
2020-05-08,"Measured",12,12,12
2020-05-08,"Nowcasted",13,12,16
2020-05-09,"Measured",4,4,4
2020-05-09,"Nowcasted",4,4,6
2020-05-10,"Measured",3,3,3
2020-05-10,"Nowcasted",6,3,7
2020-05-11,"Measured",6,6,6
2020-05-11,"Nowcasted",9,6,11
2020-05-12,"Measured",12,12,12
2020-05-12,"Nowcasted",15,13,20
2020-05-13,"Measured",19,19,19
2020-05-13,"Nowcasted",24,21,26
2020-05-14,"Measured",9,9,9
2020-05-14,"Nowcasted",12,10,13
2020-05-15,"Measured",10,10,10
2020-05-15,"Nowcasted",15,12,18
2020-05-16,"Measured",4,4,4
2020-05-16,"Nowcasted",5,4,6
2020-05-17,"Measured",5,5,5
2020-05-17,"Nowcasted",9,5,13
2020-05-18,"Measured",8,8,8
2020-05-18,"Nowcasted",9,8,12
2020-05-19,"Measured",19,19,19
2020-05-19,"Nowcasted",28,24,30
2020-05-20,"Measured",11,11,11
2020-05-20,"Nowcasted",16,14,19
2020-05-21,"Measured",12,12,12
2020-05-21,"Nowcasted",21,17,24
2020-05-22,"Measured",13,13,13
2020-05-22,"Nowcasted",18,16,22
2020-05-23,"Measured",7,7,7
2020-05-23,"Nowcasted",10,7,14
2020-05-24,"Measured",11,11,11
2020-05-24,"Nowcasted",17,12,24
2020-05-25,"Measured",7,7,7
2020-05-25,"Nowcasted",18,11,25
2020-05-26,"Measured",7,7,7
2020-05-26,"Nowcasted",29,19,36
2020-05-27,"Measured",5,5,5
2020-05-27,"Nowcasted",28,14,39.025
2020-05-28,"Measured",7,7,7
2020-05-28,"Nowcasted",38,26,50
2020-05-29,"Measured",7,7,7
2020-05-29,"Nowcasted",29,17,34
2020-05-30,"Measured",3,3,3
2020-05-30,"Nowcasted",16,9,21
2020-05-31,"Measured",1,1,1
2020-05-31,"Nowcasted",10,3,18
2020-06-01,"Measured",1,1,1
2020-06-01,"Nowcasted",11,5,19
