Data,Média
1/2/2020,30155.2
2/2/2020,28203.4
3/2/2020,38865.2
4/2/2020,45921.2
5/2/2020,41248
6/2/2020,44000.8
7/2/2020,43730.2
8/2/2020,33999.6
9/2/2020,31395.6
10/2/2020,44000.2
11/2/2020,40007.2
12/2/2020,43153.6
13/02/2020,40903
14/02/2020,42961
15/02/2020,34374.4
16/02/2020,27963.6
17/02/2020,38867.6
18/02/2020,37679.6
19/02/2020,39428.4
20/02/2020,41029
21/02/2020,46392.8
22/02/2020,38772.6
23/02/2020,32323.4
24/02/2020,32904.8
25/02/2020,33710.4
26/02/2020,41788.2
27/02/2020,40435.2
28/02/2020,39904.6
29/02/2020,32338.8
1/3/2020,27006.8
2/3/2020,42440.6
3/3/2020,38885.8
4/3/2020,39249.6
5/3/2020,33957.4
6/3/2020,45012.8
7/3/2020,35858.6
8/3/2020,29122.2
9/3/2020,39922.6
10/3/2020,33880.8
11/3/2020,27945
12/3/2020,34272.8
13/03/2020,42966.2
14/03/2020,32807
15/03/2020,19447.6
16/03/2020,37390.6
17/03/2020,37247
18/03/2020,29210.8
19/03/2020,1771.6
20/03/2020,1615.6
21/03/2020,1080
22/03/2020,859.8
23/03/2020,993.8
24/03/2020,12781
25/03/2020,14049.8
26/03/2020,14236
27/03/2020,16568.8
28/03/2020,12988
29/03/2020,10990.6
30/03/2020,14629.2
31/03/2020,12429.6
1/4/2020,17739
2/4/2020,18589.8
3/4/2020,19525.4
4/4/2020,14781.6
5/4/2020,12791.4
6/4/2020,23360.8
7/4/2020,23537.6
8/4/2020,22925.4
9/4/2020,24550
10/4/2020,14179.8
11/4/2020,17590.4
12/4/2020,14373.4
13/04/2020,23608.6
14/04/2020,24517
15/04/2020,24153.2
16/04/2020,23345.6
17/04/2020,26246
18/04/2020,17554.4
19/04/2020,14521.8
20/04/2020,25363.2
21/04/2020,15375.2
22/04/2020,26633.4
23/04/2020,27238.6
24/04/2020,28993.8
25/04/2020,20148
26/04/2020,16870.8
27/04/2020,29106
28/04/2020,29462.8
29/04/2020,28495.8
30/04/2020,33755.4
1/5/2020,19274.4
2/5/2020,21629
3/5/2020,18473.4
4/5/2020,28928.4
5/5/2020,32765.6
6/5/2020,35449.8
7/5/2020,30219.2
8/5/2020,30057
9/5/2020,23837.2
10/5/2020,15631
11/5/2020,28943.8
12/5/2020,29467.4
13/05/2020,33564
14/05/2020,31831.8
15/05/2020,34844.6
16/05/2020,24061.2
17/05/2020,19444.4
18/05/2020,29809.8
19/05/2020,29798.4
20/05/2020,32347.8
21/05/2020,32750.4
22/05/2020,36592.8
23/05/2020,24574
24/05/2020,20794
25/05/2020,30663
26/05/2020,32018
27/05/2020,31353.6
28/05/2020,31614
29/05/2020,35147.6
30/05/2020,26371.8
31/05/2020,21008.2
1/6/2020,35474.8
2/6/2020,35216
,
,
,
,
,
,
,
,
,
,
